ProjectId,ProjectName,UserId,Description,Rating,ReviewerName,Source,CreatedOn
837,"Mahagun Mywoods",0,"I am liiving in this place is pure bliss. The sports complex and the clubhouse are world-class, and having the Forum Shantiniketan shopping mall as my neighbor is very convenient.",4,Raghav,moderation,"2025-03-10 11:20:45"
114171,"DLF Mall Of India",0,"I enjoyed the range of brands, shopped entire day. Also, the layout of the mall makes things easy to find which is good since I am not good with directions and all. ",4,Raghav,moderation,"2025-03-11 06:12:54"
121953,"Marathon Futurex",0,"We relocated our office premises here a year ago. The expansive floor space and natural light make so much difference. Our staff enjoy the sky gardens.",4,Samir,moderation,"2025-03-11 19:42:34"
121953,"Marathon Futurex",0,"Although the area is ideal, the maintenance cost is higher than anticipated. Nevertheless, the facilities are excellent.",3,Salma,moderation,"2025-03-11 19:42:34"
121953,"Marathon Futurex",0,"Commuting has become so easy with the stations nearby. Customers are also amazed at the new design of the building.",5,Akshay,moderation,"2025-03-11 19:42:34"
121953,"Marathon Futurex",0,"Parking may be congested at rush hour, but generally, it's an excellent place to work.",4,Narayan,moderation,"2025-03-11 19:42:34"
100065,"Aparna Sarovar Zenith",0,"It has been a delight to live here. The facilities are excellent, and the area is ideal for my daily commute.",5,Vishwajeet,moderation,"2025-03-11 19:53:34"
100065,"Aparna Sarovar Zenith",0,"The Vastu-friendly layout was a huge advantage for us. We feel relaxed and peaceful in our new house.",4,Swathi,moderation,"2025-03-11 19:53:34"
100065,"Aparna Sarovar Zenith",0,"The large floor plans and contemporary finishes were well beyond our expectations. It's really a life of luxury.",5,Dhruv,moderation,"2025-03-11 19:53:34"
100065,"Aparna Sarovar Zenith",0,"Though the amenities are wonderful, the maintenance cost is more, which might bother some.",4,Preeti,moderation,"2025-03-11 19:53:34"
100065,"Aparna Sarovar Zenith",0,"The close proximity to the main road creates intermittent noise disturbance.",3,Mridul,moderation,"2025-03-11 19:53:34"
135614,"Silver Beach Apartment",0,"My experience of staying here has been excellent. The 24/7 water supply is a significant advantage. In addition, the location is decent.",5,Rahul,moderation,"2025-03-11 20:00:46"
135614,"Silver Beach Apartment",0,"The place is ideal, but parking can be congested in a couple of places at times.",4,Lohith,moderation,"2025-03-11 20:00:46"
135614,"Silver Beach Apartment",0,"My family appreciates the expansive structure of my 2 BHK flat, plus the excellent construction and interior décor.",5,Irisha,moderation,"2025-03-11 20:00:46"
135614,"Silver Beach Apartment",0,"Safety is excellent, though periodic power outages are inconvenient.",4,Aarohi,moderation,"2025-03-11 20:00:46"
135614,"Silver Beach Apartment",0,"The amenities are good, but I would like there to be more recreational centers.",4,Mohammed,moderation,"2025-03-11 20:00:46"
47765,"Sunrise Point",0,"I shifted to a 3BHK recently. Enjoy the large rooms and contemporary amenities. My children really like the pool.",5,Mohandas,moderation,"2025-03-11 20:08:10"
47765,"Sunrise Point",0,"The place is easily accessible, but the maintenance personnel is not very responsive sometimes. I believe it can be improved.",3,Rakesh,moderation,"2025-03-11 20:08:10"
47765,"Sunrise Point",0,"Green environment and running tracks are ideal for my morning run with my dad. It's refreshing daily.",5,Aanya,moderation,"2025-03-11 20:08:10"
47765,"Sunrise Point",0,"We had problems with water supply during summer season. The management should look into this on priority basis.",4,Tanmay,moderation,"2025-03-11 20:08:10"
47765,"Sunrise Point",0,"The place is close to schools and hospitals, which was a big advantage for us.",5,Sarvesh,moderation,"2025-03-11 20:08:10"
164080,"Embassy Golf Links Business Park",0,"I am working here, excellent experience. The open green areas create a refreshing ambiance.",5,Aarohi,moderation,"2025-03-11 20:21:04"
164080,"Embassy Golf Links Business Park",0,"The facilities are of top level, particularly food courts. Still, parking might be inconvenient when it's time for rush. ",4,Rithvik,moderation,"2025-03-11 20:21:04"
164080,"Embassy Golf Links Business Park",0,"The address is unrivalled, though traffic jam across the place proves to be one drawback.",4,Shilpa,moderation,"2025-03-11 20:21:04"
164080,"Embassy Golf Links Business Park",0,"I like the environmental-friendly initiatives. It is pleasant to be at a location where sustainability matters.",5,Aarush,moderation,"2025-03-11 20:21:04"
164080,"Embassy Golf Links Business Park",0,"The proximity to Hilton Bangalore Embassy GolfLinks is an advantage when it comes to our client meetings.",5,Pavan,moderation,"2025-03-11 20:21:04"
